dia	fornecedor	valor_mensal	ocorrencias	como_gerar	categoria	observacao
5	ANDREIA GOMES DE AGUIAR — FATURAMENTO MÉDICO	6000.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	FATURAMENTO MÉDICO	Despesas fixas
5	ANDREIA GOMES DE AGUIAR — AUXILIAR FINANCEIRO	2000.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	AUXILIAR FINANCEIRO	Despesas fixas
5	CICASTRO	54688.33	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	LAUDOS	Despesas fixas
5	DR IMAGENS	45463.33	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	SERVIÇO RADIOLOGIA	Despesas fixas
5	DUETI ASSESSORIA	3782.47	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	CONTABILIDADE	Despesas fixas
5	FONTENELE AR CONDICIONADO - JR	2250.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	MANUTENÇÃO PREDIAL	Despesas fixas
5	SALARIO	18000.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	SALÁRIOS	Despesas fixas
10	ALUGUEL	12000.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	ALUGUEL	Despesas fixas
10	BRADESCO AUTO COMPANHIA DE SEGUROS	2432.70	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	SEGURO DE EQUIPAMENTOS	Despesas fixas
10	CLARO NXT	209.10	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	TELEFONIA	Despesas fixas
10	ECOSMART	58678.25	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	Prestadora de Servico - USG	Despesas fixas
10	EMBRASNET TELECOM	249.90	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	TELEFONIA E INTERNET	Despesas fixas
10	MEDCLOUD	6760.23	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	SOFTWARE / LICENÇA DE USO	Despesas fixas
10	TRIBO MARKETING MEDICO	2000.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	MARKETING E PUBLICIDADE	Despesas fixas
11	2RMC SERVICE TECH	27318.87	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	Manutenção de Equipamentos	Despesas fixas
15	FRANCISCO FRAGOSO - SEGURANÇA (dia 15)	1500.00	QUINZENAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	VIGILÂNCIA E SEGURANÇA PATRIMONIAL	Despesas fixas
15	NUCLERAD MEDICAL	2004.45	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	Proteção Radiologica	Despesas fixas
17	ENERGISA ACRE (venc. 17)	19692.98	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	ENERGIA ELÉTRICA	Despesas fixas
17	OI S/A	266.58	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	TELEFONIA	Despesas fixas
17	QUALIVIDA SEGURANÇA E SAUDE NO TRABALHO	80.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	SAÚDE E SEGURANÇA DO TRABALHO	Despesas fixas
17	VIVO TELEFONIA	129.89	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	TELEFONIA	Despesas fixas
24	SERMATEC ACRE	10227.26	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	LOCAÇÃO DE BENS	Despesas fixas
26	ENERGISA ACRE (venc. 26)	10843.08	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	ENERGIA ELÉTRICA	Despesas fixas
30	FRANCISCO FRAGOSO - SEGURANÇA (dia 30)	1500.00	QUINZENAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	VIGILÂNCIA E SEGURANÇA PATRIMONIAL	Despesas fixas
31	CIEE - CENTRO DE INTEGRAÇÃO EMPRESA-ESCOLA	594.60	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	Remuneração de Estagiários	Despesas fixas
31	ROÇADOR	100.00	MENSAL	GERAR OS PROXIMOS 12 MESES COMECANDO 09/2026	Manutenção	Despesas fixas
